10.22.1.1   Highest Hashrate: 4265.3
10.22.1.2   Highest Hashrate: 2547.9
10.22.1.3   Highest Hashrate: 4211.4
10.22.1.4   Highest Hashrate: 4269.6
10.22.1.5   Highest Hashrate: 3045.9
10.22.1.6   Highest Hashrate: 4326.9
10.22.1.7   Highest Hashrate: 4233.0
10.22.1.8   Highest Hashrate: 4269.3
10.22.1.9   Highest Hashrate: 4255.8
10.22.1.10   Highest Hashrate: 4271.6
10.22.1.11   Highest Hashrate: 4270.1
10.22.1.12   Highest Hashrate: 4237.8
10.22.1.13   Highest Hashrate: 4263.8
10.22.1.14   Highest Hashrate: 4258.2
10.22.1.15   Highest Hashrate: 4250.6
10.22.1.16   Highest Hashrate: 4253.1
10.22.1.17   Highest Hashrate: 39.0
10.22.1.19   Highest Hashrate: 4275.9
10.22.1.20   Highest Hashrate: 4299.2
10.22.2.1   Highest Hashrate: 3566.0
10.22.2.2   Highest Hashrate: 4284.7
10.22.2.4   Highest Hashrate: 3523.5
10.22.2.3   Highest Hashrate: 2548.9
10.22.2.6   Highest Hashrate: 4331.9
10.22.2.5   Highest Hashrate: 1543.8
10.22.2.7   Highest Hashrate: 4257.3
10.22.2.8   Highest Hashrate: 44.7
10.22.2.9   Highest Hashrate: 2546.1
10.22.2.10   Highest Hashrate: 43.5
10.22.2.11   Highest Hashrate: 45.8
10.22.2.12   Highest Hashrate: 4317.2
10.22.2.13   Highest Hashrate: 2059.1
10.22.2.14   Highest Hashrate: 2059.1
10.22.2.15   Highest Hashrate: 4273.9
10.22.2.16   Highest Hashrate: 4268.9
10.22.2.17   Highest Hashrate: 44.1
10.22.2.18   Highest Hashrate: 4281.4
10.22.2.19   Highest Hashrate: 3619.7
10.22.2.20   Highest Hashrate: 45.2
10.22.3.1   Highest Hashrate: 4296.9
10.22.3.2   Highest Hashrate: 4270.1
10.22.3.3   Highest Hashrate: 4246.7
10.22.3.4   Highest Hashrate: 4328.1
10.22.3.5   Highest Hashrate: 4215.5
10.22.3.6   Highest Hashrate: 4269.1
10.22.3.7   Highest Hashrate: 4269.3
10.22.3.8   Highest Hashrate: 4214.3
10.22.3.9   Highest Hashrate: 4311.6
10.22.3.10   Highest Hashrate: 4320.1
10.22.3.11   Highest Hashrate: 4320.1
10.22.3.12   Highest Hashrate: 4215.5
10.22.3.13   Highest Hashrate: 3520.9
10.22.3.14   Highest Hashrate: 4214.0
10.22.3.15   Highest Hashrate: 2466.2
10.22.3.16   Highest Hashrate: 4260.0
10.22.3.17   Highest Hashrate: 42.2
10.22.3.18   Highest Hashrate: 1957.4
10.22.3.19   Highest Hashrate: 4288.7
10.22.3.20   Highest Hashrate: 4239.3
10.22.4.1   Highest Hashrate: 43.6
10.22.4.2   Highest Hashrate: 2343.1
10.22.4.3   Highest Hashrate: 44.9
10.22.4.4   Highest Hashrate: 4262.7
10.22.4.5   Highest Hashrate: 4213.8
10.22.4.6   Highest Hashrate: 2341.1
10.22.4.7   Highest Hashrate: 40.3
10.22.4.8   Highest Hashrate: 4309.5
10.22.4.9   Highest Hashrate: 45.5
10.22.4.10   Highest Hashrate: 2440.0
10.22.4.11   Highest Hashrate: 45.0
10.22.4.12   Highest Hashrate: 2340.8
10.22.4.13   Highest Hashrate: 44.6
10.22.4.14   Highest Hashrate: 4332.0
10.22.4.15   Highest Hashrate: 43.7
10.22.4.16   Highest Hashrate: 44.6
10.22.4.18   Highest Hashrate: 4327.6
10.22.4.17   Highest Hashrate: 40.6
10.22.4.19   Highest Hashrate: 4328.2
10.22.4.20   Highest Hashrate: 4237.0
10.22.5.1   Highest Hashrate: 4281.0
10.22.5.2   Highest Hashrate: 4265.5
10.22.5.3   Highest Hashrate: 2338.8
10.22.5.4   Highest Hashrate: 43.8
10.22.5.5   Highest Hashrate: 2340.2
10.22.5.6   Highest Hashrate: 2335.3
10.22.5.7   Highest Hashrate: 4216.4
10.22.5.8   Highest Hashrate: 42.8
10.22.5.9   Highest Hashrate: 42.6
10.22.5.10   Highest Hashrate: 43.5
10.22.5.11   Highest Hashrate: 2423.2
10.22.5.12   Highest Hashrate: 2334.8
10.22.5.13   Highest Hashrate: 45.7
10.22.5.14   Highest Hashrate: 2342.5
10.22.5.15   Highest Hashrate: 2457.5
10.22.5.16   Highest Hashrate: 46.0
10.22.5.17   Highest Hashrate: 2341.4
10.22.5.18   Highest Hashrate: 43.7
10.22.5.19   Highest Hashrate: 4298.7
10.22.5.20   Highest Hashrate: 4217.9
10.22.6.1   Highest Hashrate: 2341.3
10.22.6.2   Highest Hashrate: 2343.4
10.22.6.3   Highest Hashrate: 37.8
10.22.6.4   Highest Hashrate: 4211.2
10.22.6.5   Highest Hashrate: 2341.6
10.22.6.6   Highest Hashrate: 4248.9
10.22.6.7   Highest Hashrate: 4216.9
10.22.6.8   Highest Hashrate: 41.4
10.22.6.9   Highest Hashrate: 4214.1
10.22.6.10   Highest Hashrate: 4214.1
10.22.6.11   Highest Hashrate: 45.0
10.22.6.12   Highest Hashrate: 46.2
10.22.6.13   Highest Hashrate: 4212.6
10.22.6.14   Highest Hashrate: 4289.8
10.22.6.15   Highest Hashrate: 2338.3
10.22.6.16   Highest Hashrate: 46.2
10.22.6.17   Highest Hashrate: 2337.2
10.22.6.18   Highest Hashrate: 2426.9
10.22.6.19   Highest Hashrate: 39.4
10.22.6.20   Highest Hashrate: 43.8
